DEBUG:root:mes
2023-11-21 13:10:43,546 - mes
2023-11-21 13:11:13,119 [DEBUG]  mes
2023-11-21 13:11:52,936 [DEBUG]  debug
2023-11-21 13:11:52,937 [INFO]  info
2023-11-21 13:11:52,937 [WARNING]  warning
2023-11-21 13:11:52,937 [ERROR]  error
11 21 23 13:12:26 [DEBUG]  debug
11 21 23 13:12:26 [INFO]  info
11 21 23 13:12:26 [WARNING]  warning
11 21 23 13:12:26 [ERROR]  error
11-21-23 13:12:37 [DEBUG]  debug
11-21-23 13:12:37 [INFO]  info
11-21-23 13:12:37 [WARNING]  warning
11-21-23 13:12:37 [ERROR]  error
11-21-23 13:18:05 [DEBUG]  debug
11-21-23 13:18:05 [INFO]  info
11-21-23 13:18:05 [WARNING]  warning
11-21-23 13:18:05 [ERROR]  error
11-21-23 13:18:11 [DEBUG]  debug
11-21-23 13:18:11 [INFO]  info
11-21-23 13:18:11 [WARNING]  warning
11-21-23 13:18:11 [ERROR]  error
11-21-23 13:19:39 [DEBUG]  debug
11-21-23 13:19:39 [INFO]  info
11-21-23 13:19:39 [WARNING]  warning
11-21-23 13:19:39 [ERROR]  error
11-21-23 13:20:29 [DEBUG]  debug
11-21-23 13:20:29 [INFO]  info
11-21-23 13:20:29 [WARNING]  warning
11-21-23 13:20:29 [ERROR]  error
11-21-23 13:20:29 [DEBUG]  123
11-21-23 13:21:00 [DEBUG]  debug
11-21-23 13:21:00 [INFO]  info
11-21-23 13:21:00 [WARNING]  warning
11-21-23 13:21:00 [ERROR]  error
11-21-23 13:21:00 [DEBUG]  1111
11-21-23 13:21:24 [DEBUG]  debug
11-21-23 13:21:24 [INFO]  info
11-21-23 13:21:24 [WARNING]  warning
11-21-23 13:21:24 [ERROR]  error
11-21-23 13:21:24 [INFO]  22222
11-21-23 13:21:43 [DEBUG]  debug
11-21-23 13:21:43 [INFO]  info
11-21-23 13:21:43 [WARNING]  warning
11-21-23 13:21:43 [ERROR]  error
11-21-23 13:21:43 [INFO]  22222
11-21-23 13:22:04 [DEBUG]  debug
11-21-23 13:22:04 [INFO]  info
11-21-23 13:22:04 [WARNING]  warning
11-21-23 13:22:04 [ERROR]  error
11-21-23 13:22:12 [DEBUG]  debug
11-21-23 13:22:12 [INFO]  info
11-21-23 13:22:12 [WARNING]  warning
11-21-23 13:22:12 [ERROR]  error
11-21-23 13:22:12 [INFO]  22222
11-21-23 13:23:18 [DEBUG]  debug
11-21-23 13:23:18 [INFO]  info
11-21-23 13:23:18 [WARNING]  warning
11-21-23 13:23:18 [ERROR]  error
11-21-23 13:23:29 [DEBUG]  debug
11-21-23 13:23:29 [INFO]  info
11-21-23 13:23:29 [WARNING]  warning
11-21-23 13:23:29 [ERROR]  error
11-21-23 13:23:29 [INFO]  22322323
11-21-23 13:29:33 [DEBUG]  debug
11-21-23 13:29:33 [INFO]  info
11-21-23 13:29:33 [WARNING]  warning
11-21-23 13:29:33 [ERROR]  error
11-21-23 13:29:33 [INFO]  22322323
11-21-23 13:29:39 [DEBUG]  debug
11-21-23 13:29:39 [INFO]  info
11-21-23 13:29:39 [WARNING]  warning
11-21-23 13:29:39 [ERROR]  error
11-21-23 13:29:39 [INFO]  a
